"time","dt","x","y","z","lat","long","alt",
2022,0.00093732,-2700827.3064,-4256286.5515,3883218.5659,37.7949,-122.3972,142.3598,
2,,-2700856.0637,-4256304.0239,3883244.9842,37.7949,-122.3973,182.3831,
26,,-2700858.3685,-4256292.8478,3883237.4601,37.7949,-122.3974,171.2911,
21,,-2700854.0833,-4256326.7837,3883231.5259,37.7947,-122.3972,188.4827,
50,,-2700869.9937,-4256312.5128,3883223.9789,37.7947,-122.3974,181.0721,
33.437,,-2700828.7489,-4256312.7259,3883234.889,37.7949,-122.397,170.438,
,,-2700840.7132,-4256287.9068,3883206.1908,37.7948,-122.3973,141.3564,
,,-2700834.7134,-4256272.3789,3883212.236,37.7949,-122.3973,132.1604,
,,-2700838.748,-4256169.2849,3883175.2358,37.7951,-122.398,42.4079,
,,-2700832.6766,-4256271.6997,3883207.4598,37.7949,-122.3973,127.9179,
,,-2700843.021,-4256242.675,3883213.5076,37.795,-122.3976,116.6381,
,,-2700840.4198,-4256300.8507,3883220.995,37.7948,-122.3972,158.9411,
,,-2700839.4323,-4256198.6788,3883178.8261,37.795,-122.3978,64.5098,
,,-2700838.824,-4256180.5282,3883213.1052,37.7953,-122.3979,73.1496,
,,-2700840.8261,-4256231.5709,3883191.0972,37.7949,-122.3976,94.5661,
,,-2700837.8351,-4256205.4666,3883182.3554,37.795,-122.3978,70.5254,
,,-2700841.0366,-4256223.1705,3883210.0295,37.7951,-122.3977,100.6529,
,,-2700860.5853,-4256225.2353,3883178.0515,37.7948,-122.3979,90.7098,
,,-2700857.6427,-4256290.6944,3883196.888,37.7947,-122.3974,144.683,
,,-2700874.9976,-4256346.2919,3883224.0786,37.7945,-122.3973,205.7897,
,,-2700939.9115,-4256386.7461,3883244.2879,37.7943,-122.3976,272.6502,
,,-2700891.6026,-4256307.8176,3883156.8297,37.7942,-122.3977,145.9372,
,,-2700929.8535,-4256328.3686,3883195.7994,37.7943,-122.3979,199.7261,
,,-2700915.4962,-4256301.6644,3883159.6876,37.7942,-122.3979,153.6995,
,,-2700937.2982,-4256317.4452,3883190.4799,37.7942,-122.398,192.33,
,,-2700949.7487,-4256315.7523,3883171.398,37.7941,-122.3982,184.778,
,,-2700890.1943,-4256310.6086,3883124.8146,37.7939,-122.3976,127.5836,
,,-2700969.0092,-4256324.1544,3883159.0322,37.7939,-122.3983,190.9609,
,,-2700922.8285,-4256335.4686,3883138.5674,37.7938,-122.3978,166.4158,
,,-2700972.777,-4256362.6835,3883189.6388,37.7939,-122.3981,237.02,
,,-2700953.6703,-4256396.5144,3883205.7551,37.7939,-122.3977,261.3793,
,,-2700936.1894,-4256375.6183,3883214.8433,37.7942,-122.3977,245.6052,
,,-2700998.8182,-4256348.9347,3883144.6713,37.7936,-122.3984,211.3154,
,,-2700985.4623,-4256360.0404,3883185.9316,37.7939,-122.3982,238.3555,
