timestamp,aX,aY,aZ,temperature,gX,gY,gZ
15:23:00.601, -120,480,17176,26.98,493,210,4228
15:23:00.710,  168,1052,17828,26.98,-1482,-955,4319
15:23:00.817, -840,1352,17344,27.07,-16,-304,4666
15:23:00.928,   32,1224,15760,26.98,-175,-120,4786
15:23:01.001,  460,2596,15540,26.98,1995,1553,4719
15:23:01.109,  572,2060,16132,27.02,1091,2110,4270
15:23:01.216,  548,2136,16848,26.93,-132,1792,3443
15:23:01.327,  896,1456,16672,27.02,-1684,1445,2647
15:23:01.434, 1644,1144,16772,26.93,-1658,1194,3267
15:23:01.539, 1388,1216,16752,26.93,-696,238,2649
15:23:01.642, 1028,1140,18196,26.93,-722,103,2638
15:23:01.747,-1636,1796,19552,26.93,-644,1002,1345
15:23:01.853,-1776,124,17192,26.93,-1447,-119,1133
15:23:01.926,-1340,-448,15852,26.84,-52,161,1251
15:23:02.035, -828,336,15060,26.84,-684,-404,1606
15:23:02.136,  380,200,15140,26.93,130,-315,-339
15:23:02.246,  -68,1116,17708,26.93,396,-1232,1636
15:23:02.356,  576,1448,19184,26.93,-1379,-723,1170
15:23:02.467,-2100,864,18012,26.93,3200,1883,4279
15:23:02.579,-1432,1156,15956,26.93,349,-576,3870
15:23:02.651,  -36,212,14592,26.93,-2604,-663,2184
15:23:02.761, 1512,164,13992,26.84,-1741,-1640,803
15:23:02.868,  972,552,18052,26.84,898,-1454,-1249
15:23:02.973,  -56,28,21852,26.84,-1041,1173,-1000
15:23:03.083,-1168,-792,18264,26.84,-3918,1557,-2586
15:23:03.198,-1636,-388,14728,26.84,-150,1614,-2477
15:23:03.274,  196,-312,12552,26.93,2280,-3126,-649
15:23:03.375, 1316,-320,15304,26.84,3990,-2579,86
15:23:03.489,  580,2064,20084,26.84,2588,5,2523
15:23:03.599,  472,1512,20100,26.79,884,283,2992
15:23:03.709, -276,1624,16684,26.84,46,-832,2376
15:23:03.785, 1756,-400,13804,26.74,-911,-705,1935
15:23:03.895, 2720,56,14024,26.93,-1172,-1438,312
15:23:03.996, 2144,376,16784,26.93,-732,-1189,-1754
15:23:04.101, 1212,1004,21136,26.84,165,1310,-3110
15:23:04.215,  416,768,18788,26.84,-641,3044,-2514
15:23:04.325, -316,132,16508,26.93,-269,1032,-3820
15:23:04.432,  440,552,13328,26.84,365,-1711,-2421
15:23:04.504, 2176,244,14008,26.93,1183,-844,-2096
15:23:04.613, 1824,1240,18432,26.93,142,407,241
15:23:04.725, 1352,2144,20176,26.84,621,2641,1220
15:23:04.838, -800,3184,17240,26.88,131,1176,1459
15:23:04.950,  432,1796,14244,26.84,-469,1129,2259
15:23:05.021, 1404,692,13440,26.88,-1787,-1293,1332
15:23:05.134, 1968,1160,16396,26.79,-1608,-361,-1118
15:23:05.246, 1324,1772,20712,26.79,-1609,1081,-1762
15:23:05.355, -692,680,19944,26.84,-405,3842,2734
15:23:05.431,-1608,160,16708,26.84,182,940,647
15:23:05.538, -232,-292,12928,26.84,-112,-1843,732
15:23:05.652,  176,-560,14464,26.84,629,-2122,1965
15:23:05.757, -504,304,18824,26.74,486,-567,1780
15:23:05.867,-1420,1524,18932,26.74,1218,2510,1060
15:23:05.976,-1460,1676,17112,26.84,528,2162,408
15:23:06.086,  228,1492,15124,26.74,-1143,203,1024
15:23:06.157, 1136,476,14592,26.74,-2765,-1764,872
15:23:06.258,  912,-72,17140,26.84,-1253,-1527,-1648
15:23:06.358, -796,-348,18836,26.74,-855,626,-1850
15:23:06.472, -692,-380,18072,26.84,699,4467,-2476
15:23:06.579,-2188,-312,16256,26.74,1536,2163,-3461
15:23:06.691,  288,336,13424,26.74,603,-1893,-3201
15:23:06.800, 1676,516,15788,26.84,-215,-2831,-1819
15:23:06.907,  464,572,18948,26.69,33,625,-1120
15:23:06.978,-3020,2276,19800,26.79,4248,3793,-281
15:23:07.088,-3332,3120,16508,26.69,652,-863,849
15:23:07.198,   96,1348,13180,26.6,-795,-357,3570
15:23:07.312, 1540,660,13488,26.69,-372,28,1776
15:23:07.426,  644,1300,18792,26.69,-865,-630,-1559
15:23:07.493,-1832,1564,22368,26.79,-1678,316,-906
15:23:07.598, -648,548,17364,26.6,-2123,-740,-1589
15:23:07.712,-1400,600,14920,26.6,2434,1344,-1811
15:23:07.821, -172,964,12616,26.65,1507,-607,-5
15:23:07.928,  608,1332,14848,26.65,1581,-923,621
15:23:08.042, -680,2268,18640,26.65,2149,2044,1327
15:23:08.115,-1540,3208,20764,26.65,2816,3590,2705
15:23:08.224,-2744,3096,17020,26.65,709,785,3186
15:23:08.338,-1680,1692,15264,26.69,-1130,-478,2363
15:23:08.452, 1340,840,13304,26.6,-3394,-2101,-374
15:23:08.529, 1108,1460,16828,26.6,-2603,-1003,-2473
15:23:08.639, -404,1900,21684,26.6,-2990,-291,-1540
15:23:08.753,-2352,-580,17808,26.6,-2944,1170,-2366
15:23:08.862,-1936,-40,15096,26.41,3748,1519,-3584
15:23:08.934, -972,224,12516,26.55,2861,-2201,-3108
15:23:09.043, 1448,992,13908,26.55,2068,-2955,-2002
15:23:09.149,  452,3760,19380,26.55,1126,1883,-93
15:23:09.259,-2192,5452,20492,26.55,2287,4583,1371
15:23:09.365,-2588,4180,16212,26.46,-1386,896,1741
15:23:09.479, -528,1652,13824,26.51,-1616,662,3620
15:23:09.588,  276,1392,14680,26.6,-507,-773,346
15:23:09.665, -336,1820,18072,26.46,-1410,-1894,-2167
15:23:09.770,-2440,1756,22080,26.55,45,-1466,-2424
15:23:09.880, -708,1312,17624,26.37,-1155,-1052,-3315
15:23:09.986, -684,1868,14752,26.46,-881,1758,-2630
15:23:10.096,  528,1336,13236,26.41,-1277,-1887,-1785
15:23:10.172,  996,936,16144,26.51,-775,-2272,713
15:23:10.286,  756,1212,18660,26.41,-1184,-959,2543
15:23:10.391,-1548,2300,18072,26.37,1772,4238,4066
15:23:10.506,-1772,2212,16908,26.46,517,1256,2689
15:23:10.610, 1012,368,13420,26.46,-2309,-725,2202
15:23:10.715, 1556,356,14220,26.41,-717,394,214
15:23:10.789,  196,1616,18184,26.41,-403,-1297,383
15:23:10.899,-3248,2024,22824,26.46,1406,3414,2770
15:23:11.009,-1684,768,17488,26.55,-1462,1933,-471
15:23:11.119,-1856,-328,13992,26.37,966,1856,-918
15:23:11.229, -944,-368,13472,26.51,1184,-1666,232
15:23:11.338, -888,584,16672,26.32,1094,-1761,1421
