"time","dt","x","y","z","lat","long","alt",
2022,0.00093732,-2696424.309,-4288453.8876,3850762.1938,37.4262,-122.1602,16.0702,
2,,-2696425.5072,-4288459.1347,3850766.356,37.4262,-122.1602,22.6338,
20,,-2696408.0486,-4288440.5145,3850751.2027,37.4263,-122.1601,-6.4734,
23,,-2696410.4665,-4288449.4348,3850759.3596,37.4263,-122.1601,5.5029,
37,,-2696421.9121,-4288454.5037,3850755.9936,37.4262,-122.1602,11.7031,
45.441,,-2696395.8043,-4288432.3939,3850751.3233,37.4263,-122.16,-17.0353,
,,-2696416.8142,-4288448.7328,3850758.3676,37.4263,-122.1602,7.1113,
,,-2696416.6103,-4288454.1049,3850763.9813,37.4263,-122.1601,14.0483,
,,-2696419.7364,-4288455.4488,3850762.4643,37.4262,-122.1601,15.3514,
,,-2696408.6075,-4288453.1407,3850758.8493,37.4263,-122.16,6.8983,
,,-2696417.2371,-4288459.726,3850759.6887,37.4262,-122.1601,15.4835,
,,-2696406.9731,-4288449.3091,3850754.8011,37.4263,-122.1601,1.1713,
,,-2696412.0489,-4288460.4669,3850765.2792,37.4263,-122.16,17.1861,
,,-2696407.1491,-4288451.8401,3850751.7058,37.4262,-122.16,1.0661,
,,-2696402.6657,-4288448.8713,3850752.7098,37.4263,-122.16,-2.2148,
,,-2696408.1103,-4288458.9936,3850755.0184,37.4262,-122.16,8.2949,
,,-2696408.9975,-4288462.7334,3850757.5197,37.4262,-122.16,12.7042,
,,-2696411.1576,-4288464.5682,3850757.4856,37.4262,-122.16,14.8301,
,,-2696407.4012,-4288472.5922,3850758.1254,37.4262,-122.1599,19.0255,
,,-2696406.9711,-4288462.6338,3850757.5534,37.4262,-122.16,11.8011,
,,-2696402.8435,-4288462.4554,3850753.5473,37.4262,-122.1599,7.5018,
,,-2696398.9598,-4288467.6525,3850751.0776,37.4262,-122.1599,7.8532,
,,-2696397.2113,-4288461.807,3850749.8166,37.4262,-122.1599,2.4178,
,,-2696404.1206,-4288467.453,3850757.244,37.4262,-122.1599,13.6481,
,,-2696394.5702,-4288464.9737,3850751.0709,37.4262,-122.1598,4.1926,
,,-2696395.9881,-4288463.2236,3850754.4183,37.4262,-122.1599,5.6498,
,,-2696390.2859,-4288461.3179,3850751.1458,37.4262,-122.1598,-0.030593,
