"time","dt","x","y","z","lat","long","alt",
2022,0.00093732,-2700949.4978,-4256360.899,3882821.5825,37.7914,-122.3979,0.42573,
2,,-2700967.1458,-4256395.3175,3882812.5123,37.7911,-122.3979,25.3056,
26,,-2700959.6727,-4256353.6575,3882796.2948,37.7912,-122.398,-15.5939,
22,,-2700963.9113,-4256337.2935,3882832.9635,37.7915,-122.3982,-2.2478,
17,,-2700940.6447,-4256358.8626,3882829.627,37.7915,-122.3978,0.24806,
29.437,,-2700971.6571,-4256323.8728,3882888.802,37.792,-122.3983,26.2945,
,,-2700963.2768,-4256334.2232,3882814.0989,37.7914,-122.3982,-16.1251,
,,-2700932.4508,-4256328.2931,3882819.2235,37.7916,-122.3979,-29.9937,
,,-2700917.8908,-4256336.927,3882804.9584,37.7915,-122.3977,-39.1392,
,,-2700916.061,-4256298.9489,3882808.748,37.7917,-122.398,-62.9323,
,,-2700897.6096,-4256354.2517,3882796.3519,37.7914,-122.3974,-41.4406,
,,-2700932.3015,-4256399.6073,3882815.7306,37.7912,-122.3975,15.3866,
,,-2700936.567,-4256390.1258,3882811.7497,37.7912,-122.3976,8.4267,
,,-2700949.7483,-4256437.5412,3882850.8026,37.7912,-122.3974,69.5767,
,,-2700926.8364,-4256409.1188,3882859.6372,37.7915,-122.3974,46.3246,
,,-2700897.2874,-4256446.8507,3882846.7165,37.7913,-122.3969,51.0724,
,,-2700951.8087,-4256512.8537,3882868.9526,37.791,-122.397,131.8234,
,,-2700963.7537,-4256507.2361,3882862.2306,37.7909,-122.3971,129.0135,
,,-2700951.3084,-4256566.9202,3882891.5064,37.7909,-122.3967,181.5083,
,,-2700934.6503,-4256513.8857,3882861.8028,37.791,-122.3968,120.8659,
,,-2700907.9309,-4256468.7824,3882854.2084,37.7912,-122.3968,74.8038,
,,-2700924.4467,-4256478.8992,3882856.2619,37.7911,-122.3969,89.8054,
,,-2700954.6978,-4256512.9508,3882888.7966,37.7911,-122.397,145.2715,
,,-2700912.7444,-4256454.8342,3882870.1934,37.7914,-122.397,77.3302,
,,-2700950.2442,-4256496.9975,3882866.7371,37.7911,-122.3971,119.2233,
,,-2700935.6718,-4256472.0236,3882873.4664,37.7913,-122.3971,100.513,
,,-2700928.3858,-4256552.6995,3882881.4263,37.791,-122.3965,156.1371,
,,-2700953.2538,-4256556.7569,3882904.3726,37.791,-122.3967,183.4347,
,,-2700931.9348,-4256539.7612,3882897.603,37.7911,-122.3966,158.9195,
,,-2700932.342,-4256545.9674,3882886.3393,37.791,-122.3966,156.3307,
,,-2700923.1246,-4256447.3359,3882858.1905,37.7913,-122.3971,69.3668,
,,-2700998.8588,-4256543.9431,3882856.131,37.7906,-122.3973,164.6324,
,,-2700943.1585,-4256521.7241,3882877.7289,37.791,-122.3969,139.4577,
,,-2700991.353,-4256562.275,3882894.9917,37.7908,-122.3971,197.4994,
,,-2700943.7557,-4256494.4154,3882876.4311,37.7912,-122.397,120.6934,
,,-2700966.6461,-4256548.7024,3882890.8523,37.7909,-122.3969,175.4456,
,,-2700997.5723,-4256566.7242,3882880.9446,37.7907,-122.3971,194.4938,
,,-2701022.3045,-4256620.4673,3882916.7128,37.7906,-122.397,262.7438,
,,-2701026.137,-4256651.9662,3882902.3335,37.7904,-122.3969,276.5732,
,,-2701000.4283,-4256577.3228,3882892.2976,37.7907,-122.3971,209.7318,
,,-2700990.1175,-4256565.1982,3882879.3245,37.7907,-122.397,189.3263,
,,-2701049.4318,-4256602.2969,3882896.0604,37.7905,-122.3974,249.4501,
,,-2700996.3736,-4256586.5355,3882893.3322,37.7907,-122.397,214.7962,
,,-2701057.3652,-4256596.1005,3882913.9776,37.7906,-122.3975,259.6539,
,,-2700997.8544,-4256604.6462,3882902.6363,37.7907,-122.3969,233.2091,
,,-2701070.6827,-4256624.404,3882904.0385,37.7904,-122.3975,278.0879,
,,-2701020.7966,-4256627.5951,3882898.5562,37.7905,-122.397,255.7355,
,,-2701085.8136,-4256714.5464,3882926.3379,37.7901,-122.3971,358.3073,
,,-2700965.032,-4256576.3452,3882884.0775,37.7908,-122.3967,189.0555,
,,-2701025.765,-4256604.4568,3882891.3363,37.7905,-122.3971,237.9758,
,,-2701146.1351,-4256778.8888,3882962.6444,37.7899,-122.3972,449.0286,
,,-2701161.0512,-4256788.6064,3882947.8362,37.7897,-122.3973,452.7546,
,,-2701115.3929,-4256714.9677,3882936.0013,37.7901,-122.3973,377.034,
,,-2701198.534,-4256756.3843,3882931.1158,37.7896,-122.3979,436.8792,
,,-2701097.6117,-4256690.7471,3882922.9396,37.7901,-122.3973,345.34,
,,-2701074.7101,-4256674.9862,3882920.8535,37.7902,-122.3972,323.8482,
,,-2701014.4428,-4256637.1574,3882900.9153,37.7905,-122.3968,260.8715,
,,-2701062.5101,-4256652.9828,3882910.764,37.7903,-122.3972,297.8181,
,,-2701097.3068,-4256708.5149,3882888.9765,37.7898,-122.3972,336.255,
,,-2701015.8324,-4256605.0409,3882877.5214,37.7904,-122.397,225.6946,
,,-2701094.1214,-4256629.6389,3882870.1463,37.79,-122.3976,270.737,
,,-2701057.2634,-4256598.9178,3882852.3469,37.7902,-122.3975,223.7249,
,,-2701083.7729,-4256623.8771,3882846.2976,37.7899,-122.3976,247.8969,
,,-2701069.9394,-4256641.3607,3882853.3275,37.7899,-122.3973,258.0133,
,,-2701115.7556,-4256663.324,3882854.7647,37.7897,-122.3976,292.9485,
,,-2701046.4498,-4256619.6676,3882840.5218,37.79,-122.3973,225.7457,
,,-2701009.6171,-4256567.497,3882853.3428,37.7905,-122.3972,183.1954,
,,-2700984.1436,-4256542.358,3882815.0059,37.7904,-122.3971,132.1437,
,,-2701080.6923,-4256616.2459,3882810.1507,37.7897,-122.3976,219.3509,
,,-2701020.6557,-4256549.8696,3882810.313,37.7902,-122.3974,149.7398,
,,-2701049.8247,-4256589.6383,3882803.2801,37.7899,-122.3975,184.3168,
,,-2701023.857,-4256512.2476,3882779.1378,37.7901,-122.3977,106.8885,
,,-2701011.2124,-4256552.3214,3882846.5059,37.7905,-122.3973,169.5554,
,,-2701058.1738,-4256589.2733,3882841.712,37.7901,-122.3975,211.1583,
,,-2701091.9151,-4256634.3279,3882834.4928,37.7898,-122.3976,251.0843,
,,-2701103.6072,-4256562.5747,3882827.7426,37.79,-122.3981,204.0208,
,,-2701079.625,-4256617.7839,3882814.9852,37.7897,-122.3976,222.8877,
,,-2701079.3585,-4256646.6511,3882832.6772,37.7897,-122.3974,252.8778,
,,-2701074.0588,-4256554.181,3882860.1256,37.7904,-122.3979,205.7521,
,,-2701046.5078,-4256602.5911,3882832.8964,37.79,-122.3974,209.7032,
,,-2701061.213,-4256660.6444,3882835.2793,37.7897,-122.3971,256.1265,
,,-2701045.3543,-4256585.9418,3882829.6987,37.7901,-122.3974,196.146,
,,-2701083.8082,-4256620.823,3882837.4512,37.7899,-122.3976,240.4532,
,,-2701040.748,-4256633.1645,3882813.545,37.7898,-122.3971,215.807,
,,-2701025.0301,-4256626.1551,3882806.3439,37.7898,-122.397,200.0622,
,,-2701047.9404,-4256657.0977,3882814.6236,37.7897,-122.397,235.4831,
,,-2701051.4948,-4256655.4292,3882823.2358,37.7897,-122.3971,241.1519,
,,-2701043.1344,-4256633.8024,3882826.4318,37.7899,-122.3971,225.1396,
,,-2701009.1987,-4256605.2941,3882814.2983,37.79,-122.397,184.3134,
,,-2701049.3422,-4256674.1519,3882813.9376,37.7896,-122.3969,247.0359,
,,-2701061.2352,-4256686.4057,3882829.4176,37.7896,-122.397,269.7336,
,,-2701052.8028,-4256672.1545,3882816.4769,37.7896,-122.397,248.7243,
,,-2701034.935,-4256607.9339,3882814.2522,37.7899,-122.3972,196.9436,
,,-2701095.897,-4256624.6562,3882798.014,37.7895,-122.3977,223.9637,
,,-2701070.2895,-4256643.2304,3882785.1713,37.7894,-122.3973,217.6455,
,,-2701034.0842,-4256557.1348,3882779.4861,37.7899,-122.3975,141.3836,
,,-2701050.0699,-4256653.6052,3882791.3208,37.7895,-122.3971,219.7751,
,,-2701026.7532,-4256669.4363,3882825.64,37.7897,-122.3968,241.4958,
,,-2700979.3407,-4256614.7374,3882819.4038,37.7901,-122.3966,181.101,
,,-2701015.2567,-4256652.2068,3882837.1364,37.7899,-122.3968,232.1761,
,,-2701018.4135,-4256679.3603,3882864.2536,37.79,-122.3966,268.2478,
,,-2701082.3087,-4256789.2738,3882918.065,37.7897,-122.3966,401.6167,
,,-2701046.9716,-4256710.8446,3882944.9466,37.7903,-122.3967,350.794,
,,-2701030.2095,-4256706.7026,3882877.84,37.7899,-122.3966,299.8121,
,,-2701040.9295,-4256754.9284,3882879.0862,37.7897,-122.3964,337.2942,
,,-2701054.9644,-4256753.3633,3882909.3964,37.7899,-122.3965,360.7654,
,,-2701100.8582,-4256806.6183,3882916.0061,37.7895,-122.3966,419.7826,
,,-2701049.6087,-4256768.5881,3882907.2502,37.7898,-122.3964,367.3416,
,,-2701001.3621,-4256687.8825,3882857.5724,37.79,-122.3964,262.6207,
,,-2700996.0506,-4256646.0748,3882847.2462,37.7901,-122.3966,226.1474,
,,-2701031.4948,-4256746.136,3882860.3373,37.7896,-122.3963,315.944,
,,-2700978.5081,-4256729.5188,3882813.8278,37.7895,-122.3959,253.9218,
,,-2700928.1703,-4256580.9254,3882788.8891,37.7902,-122.3964,118.1753,
,,-2700959.9461,-4256610.6379,3882821.883,37.7902,-122.3965,171.673,
,,-2700918.5172,-4256614.7911,3882819.0427,37.7903,-122.3961,155.1629,
,,-2700932.4606,-4256613.9908,3882835.916,37.7903,-122.3962,170.872,
,,-2700948.3313,-4256612.5101,3882827.8008,37.7903,-122.3964,171.6308,
,,-2700947.999,-4256591.3429,3882829.6894,37.7904,-122.3965,158.5233,
,,-2700910.8611,-4256506.5931,3882759.7897,37.7904,-122.3966,43.416,
,,-2700906.0045,-4256499.0592,3882763.0933,37.7904,-122.3966,38.3569,
,,-2700924.8781,-4256585.7989,3882803.5484,37.7903,-122.3963,129.0162,
