aX,aY,aZ,temperature,gX,gY,gZ
-1088,2948,16796,17.99,103,3149,-482
-2308,3100,17060,18.08,-436,-126,98
-152,3432,17136,18.04,-662,-382,170
-872,3368,16028,18.08,-296,343,341
-984,3220,18044,18.08,-318,473,456
-1284,2836,16732,18.08,341,1525,-750
-1316,3032,17588,18.04,-356,1415,-60
-1500,3004,18040,18.13,87,422,904
-1632,1912,16036,18.08,-102,-622,-150
-1972,3128,16388,18.04,173,-982,165
-2016,2516,17424,18.04,95,-297,289
-1604,2704,17760,18.08,-393,-755,326
-1992,2416,17292,18.08,-193,-636,254
-684,2788,17452,18.04,435,-418,195
-1300,2780,17664,17.94,906,-1037,258
-728,2656,17664,18.08,52,601,-354
-1172,3272,18096,18.08,-184,968,281
-816,3016,17200,17.99,22,1656,757
-1860,3056,16396,18.04,302,825,-309
-916,3116,17160,18.04,564,-94,546
-1068,3316,18032,18.08,202,-91,-299
-1740,3108,18168,18.08,61,-172,39
-1252,3248,17148,17.99,-1009,-872,565
-1456,2872,16288,18.04,-174,52,30
-940,2932,17136,18.08,-90,221,199
-1268,3128,17196,18.08,-724,727,-351
-1232,2896,17580,18.13,11,52,172
-496,2968,16764,17.99,-544,-377,232
-1384,3020,17140,18.08,-177,167,-337
-820,3340,16604,18.13,-89,643,-85
-2128,3720,17324,18.08,-42,-237,1090
-652,4000,16784,18.04,-892,-95,-350
-1480,4120,16128,18.04,-705,844,146
-1304,4360,17104,17.99,-539,74,-409
-552,3952,17984,18.08,-679,-302,57
-1724,3208,18088,18.04,-499,-422,-696
92,756,18460,18.04,2394,164,-409
-1332,2016,17148,18.08,1724,1316,-1339
-1552,2060,17088,18.04,1254,170,287
-2004,3260,16104,18.04,771,-1065,402
-1876,3520,18300,18.08,-686,-896,233
-1260,4280,16232,18.04,-1416,178,573
-876,4104,17856,18.04,143,19,534
-1784,3272,17836,17.99,1914,1074,2021
-1928,1724,21104,18.13,-1567,-157,-8
-1780,2088,16252,18.13,-222,177,1545
-920,2768,15764,18.08,-416,1357,265
-1752,3036,15872,18.13,369,-267,118
-2004,2872,16836,18.13,22,498,-730
-628,2932,18396,18.04,-49,-651,-1630
-612,2832,18348,17.99,-474,-497,-1655
-1128,2380,18160,18.08,1071,259,-1281
-460,2384,16120,18.08,60,354,-1125
-212,3428,17808,17.99,169,-317,-240
-1212,3168,16384,18.04,24,-377,582
-1420,3924,17428,18.13,-585,-23,638
-1336,3984,17668,18.08,95,340,700
-268,4504,17200,18.08,128,270,295
-2136,3556,15488,18.13,785,2376,1017
-744,4048,14800,18.08,-1584,1960,76
-352,4164,15068,17.99,-617,568,1078
468,4696,15880,18.04,157,116,644
-2016,4708,18304,18.13,-580,-1330,75
0,4492,17096,18.08,557,-909,-692
804,3640,15480,18.08,318,2822,-1834
360,4052,16536,18.13,-93,-72,-545
-1148,4136,14192,18.13,1031,-136,550
-1292,4776,16592,17.99,1007,-278,-229
-1328,5020,18456,18.18,280,388,1030
-2984,2820,19912,18.04,-459,604,2488
-1492,2448,15904,18.08,-2593,547,316
-1344,3624,14584,18.18,651,400,2585
-488,4076,15324,18.04,2580,-616,660
-760,4732,22740,18.08,2155,-1330,-990
-564,3664,18620,17.99,-833,691,-2361
1732,2920,14120,18.13,-940,-588,-955
-2480,3076,16768,18.08,-119,-87,-499
-1064,3772,18116,18.04,1022,-1018,-321
-2012,3364,21288,18.08,2813,-457,-803
-2264,3140,21472,18.04,-718,-700,344
-2020,2808,15788,18.13,-1110,-1373,1049
-2988,2712,17016,18.08,-1243,678,530
-1540,3536,14476,18.13,724,31,-231
-2840,3716,19776,17.99,711,-1793,-828
-2644,3080,23044,18.08,-1157,-1047,-2286
-1300,2908,18016,18.04,587,-346,389
144,2848,15100,18.13,-1214,2201,-2024
516,3764,13148,18.08,-128,799,-147
-724,4724,16236,18.08,131,774,-290
480,4760,17332,18.08,-1108,896,1100
-2468,3180,18708,18.13,325,1120,1026
-524,2748,16484,18.08,-2792,1359,-922
-72,3164,13888,17.99,1214,-465,12
-80,3824,15904,18.13,1640,-157,-931
1460,5412,17160,18.13,-590,-572,-1873
960,4072,18056,18.08,503,4118,-3280
2128,3344,16880,18.13,-816,-532,-1548
-2912,3376,13824,18.04,786,548,164
-908,4320,17744,17.99,1327,-640,-538
-2696,4636,18364,18.08,1413,-700,821
-1024,2720,21472,18.04,-679,-58,663
860,3260,14424,18.13,-3668,-1220,712
-716,1644,18120,18.08,-437,-1510,2574
-756,3340,15300,18.08,1400,-1723,462
1332,4180,19004,18.13,588,-189,-1879
972,3204,19940,18.08,-1254,1251,-3038
1708,1992,12276,18.13,-2471,-154,-2916
-1096,2556,13644,18.08,-1170,-33,-377
1048,3524,17596,18.13,-1049,-364,270
-392,2644,21164,18.04,1887,-1753,1371
348,1144,22068,18.08,203,-312,172
1860,1748,14740,18.13,-2472,-1842,2122
-176,340,16528,18.08,383,590,-127
-804,2408,18320,17.99,4141,-1065,-852
-2696,1684,21516,18.08,456,-1116,-2281
1296,2236,21516,18.04,45,-945,-2672
1280,972,14840,18.08,-28,-215,-1270
-604,2664,15292,18.08,162,1902,-851
1588,3520,14316,18.04,905,858,736
136,3548,17460,18.04,2365,717,-366
-668,4032,18916,18.04,-2314,1486,439
-2564,1920,17848,17.99,-70,514,3285
-2396,1384,16992,18.08,-861,431,49
1436,2356,12924,18.04,1262,-577,2125
-464,3432,15096,18.13,1621,-637,-390
1424,4196,19228,18.08,-60,-2787,-869
-440,1924,19236,18.08,-278,221,-221
1588,1520,14868,18.04,-1472,240,-605
-3932,2172,15644,18.04,135,605,47
1596,3672,16152,18.08,1374,-287,792
-516,2864,19256,17.99,2787,19,-748
-396,1980,22696,17.99,-1004,-672,1089
1316,1828,16540,18.04,-3001,-1580,2386
-1316,1592,16220,17.99,-2702,-979,634
580,2584,15392,18.04,1128,322,-1038
840,3416,18916,18.08,1459,-1621,-836
-500,1632,23328,17.99,-1891,-666,-1660
-1868,812,16164,18.04,26,924,1129
-1116,1712,15404,18.13,-2493,1770,-588
-1300,2940,14100,18.08,69,1019,1285
-1124,3808,19048,17.99,2400,1442,519
856,3620,15488,18.13,1901,3366,1601
-1880,2388,16748,17.99,-437,2034,2627
