aX,aY,aZ,temperature,gX,gY,gZ
-80,3524,17376,16.53,316,690,-867
156,3648,16820,16.58,-251,220,6
664,3728,16408,16.58,12,121,380
480,4076,16540,16.62,-90,1127,22
-124,4440,16252,16.58,148,2934,1712
-1116,4828,16364,16.67,-1674,-287,629
1844,5148,15260,16.58,-1543,-30,-367
-1856,4180,18544,16.53,-654,777,-1457
144,3880,18788,16.62,-1150,-1229,-2363
-588,3036,18376,16.67,1288,-569,-1955
-448,3672,16160,16.58,1761,171,-303
-720,4220,16136,16.67,-223,1349,580
-3208,4840,16932,16.62,-1149,1682,777
-1776,5948,16508,16.53,398,-1143,514
1056,5856,13352,16.67,1239,-4366,894
-2768,4828,18688,16.58,1778,-1237,3141
-524,3100,22560,16.67,-2651,-317,1842
-616,3516,17828,16.72,-17,1211,1457
-1792,2316,18404,16.53,-402,570,-682
-916,4284,15104,16.58,1036,-481,1513
-300,5088,16640,16.67,602,1368,446
1236,5292,21364,16.62,979,683,884
964,3380,22076,16.62,-591,-429,98
796,2400,14400,16.67,2116,1037,-1809
-132,4704,14184,16.67,566,-864,-1355
4,4452,14180,16.62,382,-110,-243
1280,6452,16624,16.67,1826,880,-143
1616,5336,18444,16.67,771,531,48
176,4408,18044,16.62,1118,-503,2566
-1156,3520,16348,16.53,-2772,-65,170
-652,4480,15020,16.67,2133,30,2541
-596,4672,15340,16.67,1414,-733,808
1652,5596,18444,16.62,1219,47,-1273
1460,4280,20468,16.62,-1197,976,-2430
832,3236,16452,16.62,-1807,49,-1595
-616,4428,14656,16.58,-982,-194,-1247
-36,5012,14816,16.77,827,-681,-75
-616,4912,19076,16.53,49,-230,-214
-2776,3208,21440,16.62,-1990,-249,-1074
1628,3388,18420,16.62,-1305,-1055,2418
16,3112,13636,16.58,-1080,585,571
1652,4292,12980,16.67,259,-541,-209
-72,4956,18836,16.72,98,-1416,-1198
-556,3908,21228,16.72,-393,-215,-2429
3528,4112,14464,16.67,959,-389,409
792,4172,14536,16.58,-732,1144,-1121
696,4304,14356,16.67,745,719,1145
1284,5728,17388,16.72,1235,-218,669
192,5792,17956,16.72,1157,1282,1165
-1324,3788,21448,16.62,-577,416,1797
2396,3096,16944,16.58,-2469,389,1571
-1000,3528,15528,16.67,-959,1188,2535
876,4552,14284,16.67,982,73,219
-1304,4164,21640,16.58,-386,-505,-1954
128,3696,24040,16.77,-1008,488,-1393
1324,3004,15980,16.67,-192,-349,-760
-1240,3284,13440,16.67,-449,718,-1203
2244,5064,15432,16.72,-88,745,153
24,4860,18268,16.72,1387,-444,-380
-2828,3656,21740,16.77,-2056,956,-722
-1020,4300,13908,16.67,-1212,294,2336
-1100,3272,15360,16.58,-517,-37,2338
2104,4976,12988,16.62,624,-242,3055
-1348,3276,19380,16.62,1237,-836,-389
-2292,2760,23244,16.62,-2264,1014,-3333
252,2792,19408,16.72,-101,575,-1792
468,3488,16896,16.67,428,804,-1807
788,4548,14124,16.67,-22,-1545,743
-1300,5464,17960,16.72,2053,49,-1447
2436,6112,17424,16.62,-231,1125,-2002
68,4160,14884,16.67,-142,1063,1251
-536,3304,13472,16.77,675,1233,1770
272,4056,13536,16.72,2167,-924,2848
376,4456,18976,16.67,748,-1388,-1124
2648,4568,17328,16.58,524,8,-2565
2796,4644,16568,16.72,67,-750,-190
396,3784,15664,16.67,-1874,1215,-1605
-4316,3888,15372,16.67,-1305,91,-476
2056,6468,13944,16.67,1541,880,546
5772,6168,14308,16.62,226,1736,1951
-904,3784,20120,16.72,973,674,2194
-2780,1680,18348,16.72,-230,-5,1228
-1412,3120,15276,16.67,-111,-586,2430
-1696,4168,18028,16.77,70,-1690,546
3940,4852,22692,16.72,728,-1820,-3334
2080,5204,19236,16.81,1584,-1313,-250
-1188,2716,15116,16.77,-1371,-225,-1160
-1684,3680,13816,16.77,742,835,1390
2048,6316,17844,16.72,1710,17,-777
2664,7120,19924,16.67,3473,1109,356
-3256,4404,18272,16.67,1391,-1886,2369
-2700,2292,18996,16.77,-1805,182,-248
-2448,3192,15920,16.72,-2623,-1252,1471
1952,5728,13216,16.72,1543,1519,-293
1552,6584,20576,16.67,741,-1921,691
744,5120,20752,16.62,-1396,-896,-729
468,3492,14364,16.72,-1713,167,-86
124,4128,13640,16.67,264,860,-1019
1812,5904,13940,16.81,1160,-112,1006
-1304,5460,23024,16.77,2301,-55,384
-2952,4712,20396,16.67,-1056,735,-241
-192,3880,14632,16.72,-2637,-750,1464
-292,3320,13572,16.72,-2337,-157,605
2192,4988,13744,16.67,812,-765,516
328,5632,21540,16.72,1776,-671,-1826
296,4832,21668,16.72,-2730,627,-1906
3608,4192,15068,16.72,-147,769,-997
2464,4116,12172,16.77,-179,1279,-1428
616,5120,15156,16.77,1113,486,160
1020,5856,22068,16.77,2467,79,754
-2672,4388,22848,16.77,-1854,253,1550
776,4336,15488,16.72,-2435,612,164
5072,4544,14540,16.72,-908,392,1773
2220,4944,13736,16.67,1592,-1245,355
-1536,5240,20060,16.67,2320,-462,-852
-4540,3892,24220,16.81,-1804,179,-2390
1372,4376,16460,16.81,390,1000,-349
2424,4764,11676,16.77,-36,500,-813
-512,5368,14200,16.86,-296,427,1022
-208,6304,20508,16.72,1567,-62,-29
2492,7444,16016,16.81,-907,2104,-988
2912,5736,14276,16.77,-476,-138,3102
508,3480,14064,16.86,-1005,59,-50
1704,4976,14936,16.67,245,-424,836
