"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,
-2704185.7545,-4261085.0551,3887396.4976,-2704189.3973,-4261087.7787,3887390.8048,-2704189.3973,0,-4261087.7787,0,3887390.8048,0,
-2704183.4151,-4261087.904,3887405.6605,-2704153.142,-4261047.0882,3887447.4195,-2704188.8439,0.0067407,-4261086.9545,0.18177,3887392.4909,0.0040271,
-2704178.9243,-4261084.5762,3887410.1163,-2704165.1751,-4261098.9262,3887486.3614,-2704188.1675,0.019256,-4261087.3856,0.21972,3887397.6162,0.014268,
-2704167.1285,-4261067.8102,3887400.584,-2704137.6807,-4261039.1635,3887449.852,-2704186.0998,0.026874,-4261084.7938,0.24317,3887401.6022,0.0016583,
-2704147.121,-4261040.8134,3887381.5054,-2704061.004,-4260901.9025,3887314.0706,-2704179.5713,0.019582,-4261072.4722,0.27192,3887393.3337,-0.053614,
-2704130.9962,-4261025.564,3887378.1499,-2703964.4263,-4260782.5954,3887209.8667,-2704166.1933,0.023174,-4261049.4848,0.29371,3887373.3125,-0.092333,
-2704136.7082,-4261030.2953,3887390.3287,-2703985.8662,-4260898.5681,3887350.8936,-2704153.4081,0.017609,-4261035.9889,0.28759,3887370.603,-0.036662,
-2704142.444,-4261037.2498,3887402.5411,-2704187.6872,-4261085.0839,3887500.6985,-2704156.093,-0.0071818,-4261040.7503,0.25585,3887387.4315,0.061193,
-2704147.0647,-4261041.4407,3887410.5923,-2704195.483,-4261113.8067,3887508.6984,-2704159.4283,-0.022,-4261048.338,0.22958,3887403.9261,0.099227,
-2704153.3138,-4261050.3541,3887425.1356,-2704188.3357,-4261086.1059,3887487.591,-2704162.0292,-0.032137,-4261052.453,0.21492,3887415.7204,0.088693,
-2704151.0404,-4261052.5589,3887432.9286,-2704210.1172,-4261136.8664,3887557.9709,-2704166.5629,-0.03176,-4261062.0307,0.2188,3887436.2794,0.071203,
-2704143.0623,-4261045.2199,3887430.0239,-2704129.31,-4261058.85,3887501.4024,-2704162.9246,-0.051143,-4261061.6388,0.24911,3887445.8643,0.026078,
-2704143.0948,-4261043.1364,3887427.3283,-2704070.868,-4260966.7594,3887402.7731,-2704153.6673,-0.081118,-4261050.2752,0.29106,3887439.4434,-0.035652,
-2704147.4813,-4261050.3966,3887435.264,-2704140.6255,-4261010.9271,3887404.4955,-2704152.3323,-0.091035,-4261045.4682,0.31605,3887434.1838,-0.052814,
-2704148.3829,-4261052.5612,3887434.4821,-2704185.1721,-4261097.5593,3887507.822,-2704155.7815,-0.079951,-4261051.8493,0.30788,3887445.329,-0.0019504,
-2704152.114,-4261057.5226,3887439.5003,-2704157.4957,-4261053.9485,3887425.6283,-2704155.9704,-0.061667,-4261052.0835,0.2808,3887442.3335,0.044472,
-2704151.7027,-4261054.6355,3887434.8175,-2704186.0289,-4261082.4709,3887484.2523,-2704159.2061,-0.063566,-4261055.8611,0.23222,3887448.7373,0.12395,
-2704152.6516,-4261060.5253,3887443.7765,-2704149.1815,-4261007.971,3887392.0693,-2704158.1251,-0.065849,-4261049.8175,0.20875,3887440.0775,0.10094,
-2704142.144,-4261049.71,3887436.2967,-2704162.2084,-4261094.2515,3887524.2065,-2704158.5766,-0.063029,-4261055.4116,0.20085,3887452.979,0.091549,
-2704138.463,-4261045.9224,3887431.5121,-2704047.5283,-4260929.9817,3887368.9936,-2704146.3945,-0.052888,-4261039.5011,0.24129,3887440.0973,0.013714,
-2704137.0277,-4261043.9689,3887428.9843,-2704105.3197,-4260988.1707,3887388.9707,-2704141.8715,-0.030861,-4261032.9603,0.26356,3887432.2473,0.045077,
-2704159.5132,-4261068.2246,3887447.856,-2704124.0946,-4261001.317,3887405.3799,-2704139.9073,0.0099749,-4261028.9111,0.26259,3887428.1237,0.097564,
-2704158.6577,-4261071.8152,3887452.3376,-2704361.5891,-4261260.472,3887617.565,-2704164.4878,0.020757,-4261058.3933,0.22379,3887457.26,0.16087,
-2704155.0028,-4261070.4054,3887453.6644,-2704150.9583,-4261076.524,3887493.878,-2704162.982,0.041595,-4261060.6865,0.21796,3887462.9022,0.05001,
-2704155.6095,-4261073.6155,3887459.309,-2704122.1874,-4261031.1882,3887466.2842,-2704158.438,0.030276,-4261056.9015,0.24489,3887463.4238,-0.050965,
-2704159.016,-4261067.2578,3887456.3723,-2704161.019,-4261075.9386,3887511.7215,-2704158.7232,0.020361,-4261059.3112,0.27817,3887470.85,-0.071595,
-2704165.457,-4261072.0159,3887457.7364,-2704189.5499,-4261038.7041,3887428.9663,-2704162.1602,0.033161,-4261056.653,0.31152,3887464.3995,-0.052352,
-2704182.0179,-4261089.7639,3887469.5866,-2704224.115,-4261142.4845,3887469.1416,-2704169.0744,0.048093,-4261067.5983,0.29766,3887465.1265,0.0040542,
-2704188.0661,-4261096.7714,3887474.8379,-2704330.9194,-4261277.9016,3887574.0929,-2704187.1528,0.024859,-4261094.4642,0.26691,3887481.8981,0.049248,
-2704194.4353,-4261104.3693,3887479.65,-2704242.8558,-4261188.4539,3887521.0739,-2704193.3779,-0.0073773,-4261106.462,0.24935,3887487.9305,0.010206,
-2704199.1761,-4261111.5922,3887486.3696,-2704252.4771,-4261203.6146,3887520.9519,-2704199.9881,-0.038179,-4261118.8674,0.25452,3887493.0129,-0.021379,
-2704145.3274,-4261592.1922,3887749.1644,-2704242.4215,-4261204.2084,3887545.2552,-2704204.7379,-0.027388,-4261129.7627,0.26788,3887501.0525,-0.00071188,
-2704164.1444,-4261552.4418,3887728.2831,-2703660.8605,-4265946.953,3890114.4859,-2704143.8845,0.064663,-4261746.0627,-0.006781,3887903.328,0.77369,
-2704166.2155,-4261508.8817,3887706.6495,-2704337.3014,-4261222.2019,3887540.2756,-2704165.5245,0.047034,-4261679.031,0.24862,3887847.4947,0.14575,
-2704167.0331,-4261466.7171,3887683.1453,-2704185.0199,-4261146.6355,3887511.7996,-2704167.7023,0.052019,-4261610.8851,0.27998,3887795.831,-0.051865,
-2704180.3389,-4261438.8887,3887669.6117,-2704174.3457,-4261113.3768,3887471.5414,-2704168.442,0.024893,-4261547.1984,0.28983,3887745.9091,-0.13364,
-2704192.1314,-4261411.9123,3887654.7515,-2704300.6535,-4261213.772,3887547.621,-2704183.242,-0.014799,-4261504.506,0.2883,3887715.3778,-0.10111,
-2704204.3079,-4261388.2285,3887643.9038,-2704299.8493,-4261196.0661,3887521.6474,-2704196.2995,-0.049936,-4261465.0103,0.28012,3887685.5518,-0.028073,
-2704206.4081,-4261362.9078,3887633.2556,-2704313.8028,-4261201.6139,3887545.1243,-2704209.4607,-0.061322,-4261431.2793,0.25049,3887663.9361,0.030271,
-2704209.3059,-4261340.2926,3887624.4399,-2704224.7631,-4261159.9446,3887537.0283,-2704211.179,-0.036888,-4261396.5343,0.23325,3887644.4037,-0.00057512,
-2704222.3961,-4261326.5576,3887619.4393,-2704237.2865,-4261163.2393,3887544.3894,-2704214.1047,0.0067442,-4261366.6583,0.23293,3887629.0073,-0.066535,
-2704227.8916,-4261308.6696,3887611.6032,-2704339.0918,-4261208.5844,3887574.2432,-2704228.0996,0.028557,-4261346.4083,0.24749,3887620.5719,-0.073212,
