"complementaryfilter",,,"GPSx","GPSy","GPSz","mu",,,,,,"IMUonly",,,
-2699447.4862,-4293261.4719,3855073.4613,-2699446.8916,-4293259.8367,3855072.4636,-2699446.8916,0,-4293259.8367,0,3855072.4636,0,-2699446.962,-4293259.8673,3855072.5119,
-2699442.2882,-4293257.3061,3855071.9904,-2699449.6661,-4293264.2493,3855076.4525,-2699446.934,-0.006929,-4293259.9254,0.061009,3855072.5887,0.71335,-2699446.9242,-4293260.3641,3855072.6712,
-2699439.5048,-4293256.032,3855072.707,-2699426.2788,-4293243.6823,3855067.5767,-2699446.3453,-0.0089962,-4293259.3096,0.079028,3855072.3879,0.92312,-2699446.8746,-4293260.9109,3855072.6758,
-2699440.5602,-4293256.5165,3855071.9926,-2699431.3413,-4293251.7338,3855074.8552,-2699445.732,-0.00010714,-4293258.8981,0.090727,3855072.6625,0.9572,-2699446.8767,-4293261.5321,3855072.4837,
-2699433.9495,-4293253.1053,3855069.29,-2699445.0456,-4293256.9008,3855069.8095,-2699445.6959,0.011962,-4293258.7551,0.10072,3855072.4795,0.95282,-2699446.9406,-4293262.2211,3855072.195,
-2699435.4179,-4293251.9958,3855070.9581,-2699414.3211,-4293241.293,3855061.1578,-2699443.7437,0.029678,-4293257.3625,0.10591,3855071.3293,0.954,-2699447.0704,-4293262.931,3855071.9467,
-2699435.4477,-4293253.7226,3855073.2662,-2699439.5143,-4293248.1037,3855075.8327,-2699443.4409,0.041382,-4293256.5266,0.10385,3855071.9568,0.973,-2699447.2565,-4293263.6219,3855071.8128,
-2699436.491,-4293256.8888,3855072.9793,-2699434.9535,-4293257.4787,3855080.0486,-2699442.7717,0.056439,-4293256.6102,0.097681,3855073.0886,0.98717,-2699447.508,-4293264.2711,3855071.7461,
-2699433.5616,-4293257.8679,3855073.6789,-2699439.0946,-4293264.0649,3855072.0267,-2699442.4549,0.069795,-4293257.3781,0.08823,3855073.0299,0.99824,-2699447.8164,-4293264.8557,3855071.7621,
-2699435.0071,-4293259.9808,3855073.2983,-2699424.438,-4293257.3833,3855075.7032,-2699440.8291,0.06194,-4293257.371,0.076094,3855073.493,1.0227,-2699448.0606,-4293265.3516,3855071.9466,
-2699433.8747,-4293257.7469,3855073.0342,-2699439.1504,-4293264.1537,3855072.107,-2699440.6662,0.026026,-4293258.1356,0.063657,3855073.381,1.051,-2699447.9437,-4293264.9594,3855071.7777,
-2699432.941,-4293259.6927,3855075.2912,-2699429.5103,-4293248.8217,3855072.2227,-2699439.5746,-0.026482,-4293257.0407,0.052506,3855073.3006,1.0627,-2699448.2461,-4293264.6438,3855071.5931,
-2699431.4163,-4293259.7049,3855072.3214,-2699428.7867,-4293264.2996,3855081.9556,-2699438.4923,-0.06217,-4293257.9039,0.038928,3855074.6801,1.0375,-2699448.7732,-4293264.4099,3855071.5239,
-2699429.2247,-4293257.7024,3855071.8078,-2699425.5629,-4293259.1725,3855063.345,-2699437.1671,-0.066451,-4293258.0548,0.03159,3855073.0619,0.98204,-2699449.272,-4293264.2176,3855071.6151,
-2699429.4167,-4293259.3207,3855070.7951,-2699420.5858,-4293251.2566,3855070.1648,-2699435.435,-0.045046,-4293257.2156,0.031156,3855072.7056,0.94711,-2699449.5692,-4293264.0233,3855071.7911,
-2699429.9947,-4293261.2342,3855070.712,-2699428.6186,-4293264.0323,3855067.7382,-2699434.714,-0.016293,-4293258.0595,0.03393,3855072.0306,0.95642,-2699449.6365,-4293263.8014,3855071.896,
-2699430.7808,-4293262.9593,3855070.9662,-2699430.4825,-4293266.9966,3855070.4179,-2699434.2605,-0.0094122,-4293259.1744,0.039797,3855071.8668,1.0028,-2699449.6946,-4293263.5375,3855071.8412,
-2699430.074,-4293266.0006,3855071.7892,-2699431.3811,-4293268.4258,3855071.7099,-2699433.9495,-0.020741,-4293260.3345,0.045729,3855071.9289,1.0409,-2699449.8687,-4293263.2357,3855071.6917,
-2699430.5347,-4293265.9812,3855071.2935,-2699425.6613,-4293275.9578,3855074.2596,-2699433.0472,-0.045798,-4293262.3037,0.046898,3855072.374,1.0347,-2699450.2548,-4293262.9294,3855071.6049,
-2699428.3303,-4293266.4983,3855070.2488,-2699430.1007,-4293266.3895,3855069.8691,-2699432.7279,-0.043085,-4293262.8174,0.044086,3855072.0757,0.9814,-2699450.5631,-4293262.651,3855071.7052,
-2699426.4823,-4293266.9135,3855069.5226,-2699420.7902,-4293268.2105,3855067.2562,-2699431.4152,-0.013665,-4293263.4986,0.034367,3855071.4173,0.93509,-2699450.5331,-4293262.872,3855071.2219,
-2699424.483,-4293266.2063,3855068.2559,-2699420.9387,-4293268.4467,3855067.4698,-2699430.257,0.023567,-4293264.1254,0.022419,3855070.8902,0.94909,-2699450.6701,-4293263.0096,3855070.9523,
-2699424.1377,-4293267.5679,3855068.9245,-2699418.6412,-4293264.7926,3855064.1665,-2699428.9667,0.03002,-4293264.2087,0.011286,3855069.9387,1.0182,-2699450.7988,-4293263.0714,3855071.2282,
